Designator,Mid X,Mid Y,Rotation,Layer
C2,162.0,-64.133201,270.0,top
C3,175.389008,-64.159873,270.0,top
C4,108.5,-57.0,0.0,top
J1,120.594163,-58.213867,180.0,top
J3,105.725,-111.375,270.0,top
KEY2,118.5,-112.5,0.0,top
KEY3,118.5,-69.5,0.0,top
KEY4,138.5,-112.455765,0.0,top
KEY5,158.75,-112.455765,0.0,top
KEY6,178.75,-112.549494,0.0,top
LED1,125.377136,-97.357864,180.0,top
LED10,178.642136,-70.357864,180.0,top
LED2,129.877136,-89.357864,180.0,top
LED3,134.642136,-79.857864,180.0,top
LED4,138.642136,-70.357864,180.0,top
LED5,146.142136,-96.357864,180.0,top
LED6,152.142136,-83.857864,180.0,top
LED7,159.142136,-70.357864,180.0,top
LED8,166.142136,-97.357864,180.0,top
LED9,172.642136,-83.857864,180.0,top
R1,108.5,-60.0,180.0,top
R10,173.642136,-70.357864,0.0,top
R11,154.142136,-70.357864,0.0,top
R12,133.642136,-70.357864,0.0,top
R3,120.642136,-93.032864,270.0,top
R4,141.142136,-96.357864,0.0,top
R5,124.642136,-89.357864,0.0,top
R6,161.142136,-97.357864,0.0,top
R7,167.642136,-83.857864,0.0,top
R8,147.142136,-83.857864,0.0,top
R9,129.642136,-79.857864,0.0,top
U1,103.792136,-73.857864,90.0,top
U2,169.0,-59.5,270.0,top
U3,148.46,-128.025,0.0,top
